,Species,Model_name,Trait,B0,E,T_pk,E_D,E_D_L,Est.Tpk,Est.Tmin,Est.Tmax,Max response,R_Squared,AIC,BIC,Rank,Corrected,Number.of.Data.Points,Number.of.Variables,FinalID,OriginalID,Citation,Latitude,Longitude,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,OptimalConditions,RespirationType
333_Sch_TF,Acidianus brierleyi,schoolfield two factor,Fe3+ Oxidation Rate,-16.689722007098766,2.133204825031109,342.702670061,4.182188660979086,NA,342.6823,338.8823,346.5823,2.6756219621,0.8821764246888696,-24.817644121860333,-19.622357473784042,2,False,14,4,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
333_Sch_OS,Acidianus brierleyi,schoolfield simple,Fe3+ Oxidation Rate,-16.67941677096339,2.131883912363981,NA,4.182228276898664,NA,342.6823,338.8823,346.5823,2.6756705381,0.8821779672625012,-24.817644077106074,-19.622357429029783,3,False,14,4,333,80,"2005, P.D. Franzmann and C.M. Haddad and R.B. Hawkes and W.J. Robertson and J.J. Plumb, 'Effects of temperature on the rates of iron and sulfur oxidation by selected bioleaching Bacteria and Archaea: Application of the Ratkowsky equation'. Minerals Engineering, 18(13-14),pp1304-1314",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,brierleyi,True,C19
228_Sch_TF,Acidianus infernus,schoolfield two factor,Specific Growth Rate,-8.742754553387703,1.1400403578071723,365.251914215,1.5438279224898892,NA,365.2735,353.7735,381.5735,8.37568639856,0.9844145657157742,-5.710908932421217,-4.752111586280943,1,False,6,4,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
228_Sch_OS,Acidianus infernus,schoolfield simple,Specific Growth Rate,-2.5338955805929104,0.435506604017176,NA,1210.9190758931818,NA,375.4735,367.5735,375.5735,12.2644476621,0.8650659900386642,7.256822730046959,8.215620076187234,2,False,6,4,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
228_Sch_O,Acidianus infernus,schoolfield,Specific Growth Rate,-2.0375630018190463,0.39823485837266304,NA,480106.3031367643,-6.02870781398,363.5735,355.5735,363.5735,8.7488700328,-0.42222532940895574,26.460992329115008,27.003308613711393,3,False,6,6,228,Segerer_1986_A_infernus,"Segerer, A. et al 1986, 'Acidianus infernus gen. nov. sp. nov. and Acidianus brierleyi comb. nov. : Facultatively Aerobic, Extremely Acidophilic Thermophilic Sulfur-Metabolizing Archaebacteria' INTERNATIONAL JOURNAL OF SYSTEMATIC BACTERIOLOGY 36 (559-564) ",,,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,infernus,True,C19
515_Sch_TF,Acidianus manzaensis,schoolfield two factor,Specific Growth Rate,-6.540791564387854,0.7225257381855411,352.035870943,3.267852832687547,NA,352.0619,344.6619,357.4619,1.08944247562,0.9919887187508143,-29.11484369897977,-29.067654136809267,1,False,5,4,515,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406?411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3
515_Sch_OS,Acidianus manzaensis,schoolfield simple,Specific Growth Rate,-6.5408651035973895,0.7225347451531534,NA,3.267822977754796,NA,352.0619,344.6619,357.4619,1.08944401071,0.9919887183926791,-29.114843692075198,-29.067654129904696,2,False,5,4,515,Yoshida_2006_A_manzaensis,"Yoshida, N., Nakasato, M., Ohmura, N., Ando, A., Saiki, H., Ishii, M., & Igarashi, Y. (2006). Acidianus manzaensis sp. nov., a novel thermoacidophilic Archaeon growing autotrophically by the oxidation of H2 with the reduction of Fe 3+. Current Microbiology, 53(5), 406?411.",40.27,140.8,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,manzaensis,True,F3
82_Sch_TF,Acidianus sp. ale1,schoolfield two factor,Specific Growth Rate,-3.5493006186404403,0.48163671235101735,352.351537494,52.41770676223728,NA,352.3196,345.9196,353.1196,2.82740176584,0.9752727760103702,-15.851889116566976,-15.804699554396475,1,False,5,4,82,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336?346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,True,F3
82_Sch_OS,Acidianus sp. ale1,schoolfield simple,Specific Growth Rate,-3.5493014457521532,0.4816368079770099,NA,39.36962525789493,NA,352.0196,345.5196,353.0196,2.78146186179,0.9752725927317017,-15.851888333763252,-15.80469877159275,2,False,5,4,82,Giaveno_2013_ALE1,"2013,  Giaveno, M.A et al., 'Physiologic Versatility and Growth Flexibility as the Main Characteristics of a Novel Thermoacidophilic Acidianus Strain Isolated from Copahue Geothermal Area in Argentina', ENVIRONMENTAL MICROBIOLOGY, 65, (336?346)",37.48,71.5,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,True,F3
59_Sch_OS,Acidibacter ferrireducens,schoolfield simple,Specific Growth Rate,-6.288464327895409,1.5535444675307155,NA,4.6600533760576335,NA,307.6216,304.4216,310.3216,2.00908711456,0.9754985237054774,-25.655051768660286,-23.92550102338372,1,False,7,4,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067?1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,ferrireducens,True,Aerobic
59_Sch_TF,Acidibacter ferrireducens,schoolfield two factor,Specific Growth Rate,-6.288473198133177,1.5535466238606563,307.611149399,4.660050308572227,NA,307.6216,304.4216,310.3216,2.00908706859,0.9754985187456611,-25.65505176827977,-23.925501023003203,2,False,7,4,59,Falagan_2014_A_ferrireducens,"2014,  Falagan, C. & Johnson, DB., 'Acidibacter ferrireducens gen. nov., sp. nov.: an acidophilic ferriciron-reducing gammaproteobacterium', Extremophiles, 18, (1067?1073)",37.46066,6.49031,Bacteria,Proteobacteria,Gammaproteobacteria,,,Acidibacter,ferrireducens,True,Aerobic
