"","Species","Trait","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","Max.response","Est.Tpk","Est.Tmin","Est.Tmax"
"137","Spiroplasma tius-1","Specific Growth Rate","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Aerobic",4.89635678664,304.45,299.25,304.95
"138","Spiroplasma tn-1","Specific Growth Rate","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Aerobic",11.9439709543,308.25,304.55,310.25
"139","Spiroplasma velocicrescens","Specific Growth Rate","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Aerobic",29.345689567,308.95,305.05,311.65
"140","Spiroplasma w115","Specific Growth Rate","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Aerobic",4.18367889995,302.85,299.55,304.35
"141","Staphylococcus aureus","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Aerobic",39.6206801324021,307.542590120443,304.692613919935,307.942652500917
"142","Staphylococcus xylosus","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Aerobic",51.960575197547,305.390684685517,298.490086616336,314.941249041161
"143","Sulfobacillus benefaciens","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","Aerobic",4.78696807744,311.0695,307.8695,313.6695
"144","Thermaerobacter nagasakiensis","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","Aerobic",48.7109187572,339.9476,339.0476,342.2476
"145","Thermus aquaticus","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",16.4632009087,341.3963,334.1963,348.4963
"146","Thermus sp. at61","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",24.2568063272,345.8257,341.2257,348.5257
"147","Thermus sp. di","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",13.6551748724,340.7353,334.4353,346.0353
"148","Thermus sp. nh ","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",15.2364018578,342.6806,332.9806,351.6806
"149","Thermus sp. yt1","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",16.7321469773,341.1113,334.7113,346.1113
"150","Thermus thermophilus","Specific Growth Rate","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","Aerobic",19.4370056569247,347.179194119124,337.32297675707,352.289799045085
"151","Vibrio  psychroerythrus","Specific Growth Rate","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio ","Aerobic",2.46734055585,285.853255803,281.853255803,288.053255803
"152","Xanthomonas campestris","Specific Growth Rate","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanothomonadaceae","Xanthomonas","Aerobic",7.88949507274,304.902496462,299.402496462,307.602496462
"153","Xylella fastidiosa","Specific Growth Rate","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xylella","Aerobic",3.1389531481,301.70903995,297.10903995,304.80903995
"154","Yersinia enterocolitica","Specific Growth Rate","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia","Aerobic",1.28145472957673,298.79627662656,292.833056517108,306.021911299262
"155","Candidatus nitrosotalea devanaterra","Specific Growth Rate","Archaea","Thaumarchaeota","","","","Candidatus Nitrosotalea","AmmoniaOxidation",0.423478099512,295.393,293.693,297.993
"156","Nitrosotalea sp. nd2","Specific Growth Rate","Archaea","Thaumarchaeota","","","","Candidatus Nitrosotalea","AmmoniaOxidation",0.691638854022,310.0312,304.5312,313.1312
"157","Desulfurobacterium crinifex","Specific Growth Rate","Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium","B1",14.9529403237,335.4306,331.5306,338.6306
"158","Ferroglobus placidus","Specific Growth Rate","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","B1",6.16830034911,359.3042,354.5042,364.8042
"159","Persephonella guaymasensis","Specific Growth Rate","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","B1",3.01440303802,344.0695,337.0695,347.1695
"160","Persephonella marina","Specific Growth Rate","Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","B1",4.90348400031,345.7446,341.3446,348.9446
"161","Bacillus sp. ms30","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","B10",10.1180606292,331.7065,324.7065,337.3065
"162","Pyrolobus fumarii","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Pyrolobus","B3",21.4829427899,377.3012,375.5012,378.8012
"163","Heliobacillus mobilis","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacillus","B9",6.22298754638,311.598,308.398,314.098
"164","Heliobacterium modesticaldum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacterium","B9",6.43503825681,325.4199,320.4199,327.5199
"165","Desulfofaba gelida","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofaba","C1",0.125329525427,280.57938,277.57938,280.67938
"166","Desulfofrigus fragile","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofrigus","C1",0.873121936091,294.54456,287.44456,296.64456
"167","Desulfofrigus oceanense","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofrigus","C1",0.0976672440314,286.53845,278.33845,286.73845
"168","Desulfotalea arctica","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","C1",0.514696283788,294.17252,288.27252,295.47252
"169","Desulfotalea psychrophila","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","C1",0.539347438333,286.84799,276.24799,290.34799
"170","Desulfotomaculum alkaliphilum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","C1",1.07543198275,325.7328,321.0328,328.5328
"171","Desulfotomaculum putei","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","C1",10.2718565816,338.1257,335.2257,338.1257
"172","Thermodesulfovibrio yellowstonii","Specific Growth Rate","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Thermodesulfovibrio","C1",0.692492013743,339.1656,318.9656,344.2656
"173","Acidithiobacillus caldus","Specific Growth Rate","Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","C14",6.94322526419,320.4859,312.6859,323.7859
"174","Metallosphaera hakonensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","C16",0.883688348337,345.0838,337.5838,347.6838
"175","Sulfolobus acidocaldarius","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","C16",2.25726604294898,354.770287986569,350.917485133956,355.613244096558
"176","Sulfolobus sp. ta-1","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","C16",1.12640539349,344.7338,337.3338,353.5338
"177","Sulfolobus tengchongensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","C16",2.36826308339,360.55,354.85,364.25
"178","Sulfolobus yangmingensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","C16",4.38356406392,353.1679,348.0679,358.3679
"179","Sulfurisphaera ohwakuensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfurisphaera","C16",2.90291043358,357.0799,350.1799,361.8799
"180","Thermococcus barophilus","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C16",26.2861678931699,360.179336025125,355.779323485078,363.529862500318
"181","Thermocrinis ruber","Specific Growth Rate","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Thermocrinis","C16",19.8998453468,357.3607,353.4607,358.0607
"182","Acidianus infernus","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","C19",8.37568625733,365.2735,353.7735,381.5735
"183","Acidilobus sulfurireducens","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","C19",0.790022999267,353.45,351.15,355.95
"184","Caldisphaera draconis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Caldisphaeraceae","Caldisphaera","C19",0.653078121006,344.35,341.75,346.25
"185","Caldivirga maquilingensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Caldivirga","C19",1.85936100945,357.7084,352.3084,360.9084
"186","Desulfurococcus sp. s","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","C19",36.8104148723,360.6238,354.0238,362.9238
"187","Desulfurococcus sp. sy","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","C19",32.1392769238,362.0555,354.6555,365.2555
"188","Ignicoccus hospitalis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19",16.3271457072,354.9741,351.2741,363.2741
"189","Ignicoccus islandicus","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19",12.3290737397,361.9342,357.2342,365.6342
"190","Ignicoccus pacificus","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","C19",20.1548490661,362.7975,358.9975,367.0975
"191","Marinitoga piezophila","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Petrotogales","","Marinitoga","C19",52.2596049361,340.0238,334.5238,342.6238
"192","Palaeococcus helgesonii","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Palaeococcus","C19",20.8785881578,351.1923,345.3923,355.3923
"193","Pyrobaculum islandicum","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","C19",3.58104238058,374.1208,361.9208,374.9208
"194","Pyrobaculum organotrophum","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","C19",1.48096470393,374.9339,366.1339,375.6339
"195","Pyrococcus abyssi","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","C19",39.05992561,371.6882,366.2882,373.0882
"196","Pyrococcus furiosus","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","C19",26.4501774913,375.3104,363.6104,376.1104
"197","Pyrococcus glycovorans","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","C19",4.13717819813,368.7677,361.8677,372.3677
"198","Pyrococcus horikoshii","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","C19",44.373618634,369.8265,363.8265,372.8265
"199","Thermococcus alcaliphilus","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",11.504249897,359.4577,352.2577,361.9577
"200","Thermococcus barossii","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",25.1075855382,354.1995,348.0995,358.8995
"201","Thermococcus celer","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",22.348072278,357.0995,349.0995,363.3995
"202","Thermococcus chitonophagus","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",11.7979101785,360.069,355.469,363.269
"203","Thermococcus fumicolans","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",18.6672009239,359.1771,355.4771,364.2771
"204","Thermococcus hydrothermalis","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",10.0282084867,357.1388,346.4388,364.8388
"205","Thermococcus peptonophilus","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",63.6956405115,356.0791,349.3791,362.7791
"206","Thermococcus siculi","Specific Growth Rate","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","C19",7.97961555439,360.415,348.615,362.915
"207","Thermoplasma acidophilum","Specific Growth Rate","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","C19",6.05810023343,332.83727682,329.73727682,334.53727682
"208","Thermoproteus uzoniensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","C19",8.81311299636,360.6472,355.8472,364.9472
"209","Thermosipho japonicus","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","C19",21.1489065872,345.9337,337.7337,349.7337
"210","Thermotoga maritima","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","C19",13.3177662806,352.7611,347.1611,358.1611
"211","Thermotoga sp.","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","C19",20.3365937675,362.05,356.25,364.75
"212","Archaeoglobus veneficus","Specific Growth Rate","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","C3",16.2431439376,353.05,346.85,359.45
"213","Thermothrix thiopara","Specific Growth Rate","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Thermothrix","C5",9.51362509686,344.9849,342.0849,346.7849
"214","Chlorobium tepidum","Specific Growth Rate","Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","C9",7.76406116318,319.1125,313.4125,321.4125
"215","Methanobacterium sp. ivanov","Specific Growth Rate","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1",1.25007893987,315.6066,310.5066,318.9066
"216","Methanobacterium sp. kuznetsov","Specific Growth Rate","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1",1.20574692681,313.0066,307.1066,317.2066
"217","Methanobacterium sp. omeliansky","Specific Growth Rate","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1",0.94970734126,321.3613,303.1613,322.5613
"218","Methanobacterium subterraneum","Specific Growth Rate","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1",3.26223341371,311.75868,297.15868,316.65868
"219","Methanobacterium thermaggregans","Specific Growth Rate","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1",6.10754139326,342.738,338.838,343.638
"220","Methanocaldococcus jannaschii","Specific Growth Rate","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","D1",34.4109627878,359.0512,348.6512,363.6512
"221","Methanocaldococcus vulcanius","Specific Growth Rate","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","D1",18.9563553503,353.3898,343.9898,357.4898
"222","Methanococcus voltae","Specific Growth Rate","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","D1",13.1035633438,315.101,311.801,315.801
"223","Methanoculleus submarinus","Specific Growth Rate","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","D1",2.55560901807,316.1489,309.4489,319.9489
"224","Methanoculleus thermophilus","Specific Growth Rate","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","D1",12.4452152342,329.5833,315.5833,332.5833
"225","Methanogenium frigidum","Specific Growth Rate","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanogenium","D1",0.255303005606,286.32014,282.92014,288.92014
"226","Methanohalophilus portucalensis","Specific Growth Rate","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalophilus","D1",1.46700543302,310.8983,306.6983,312.8983
"227","Methanolobus psychrophilus","Specific Growth Rate","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","D1",1.52954000711,290.6932593,287.1932593,292.3932593
"228","Methanopyrus kandleri","Specific Growth Rate","Archaea","Euryarchaeota","Methanopyri","Methanopyrales","Methanopyraceae","Methanopyrus","D1",19.5657502431181,373.728122139704,369.634933653084,377.618147942882
"229","Methanothermococcus okinawensis","Specific Growth Rate","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","D1",27.521123159,338.8003,332.3003,343.5003
"230","Methanothermococcus thermolithotrophicus","Specific Growth Rate","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","D1",18.9186827894,338.15,327.45,342.75
"231","Acetobacterium fimetarium","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1",3.62173105247,302.927,298.927,303.927
"232","Acetobacterium tundrae","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1",8.98637712287,300.33,298.53,300.93
"233","Acetobacterium z-4290","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Acetobacterium","E1",3.6985002429,302.607,298.807,303.507
"234","Thermoanaerobacter kivui","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","E1",7.18793467278,340.3735,334.0735,342.6735
"235","Bacillus infernus","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","F14",28.5108072802,332.5452,330.0452,333.9452
"236","Acidianus manzaensis","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","F3",1.08944247363,352.0619,344.6619,357.4619
"237","Acidianus sp. ale1","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","F3",2.82740184209,352.3196,345.9196,353.1196
"238","Geogemma barossii","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Geogemma","F3",8.95916647722,377.248,371.448,381.648
"239","Geoglobus ahangari","Specific Growth Rate","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Geoglobus","F3",3.43118191266,362.5999,348.4999,363.2999
"240","Sulfobacillus sibiricus","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","F3",12.3075684419,327.3682,322.0682,330.1682
"241","Sulfobacillus sp. wr1","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","F3",4.47801381688,325.5439,317.6439,330.1439
"242","Thermoanaerobacter siderophilus","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermoanaerobacter","F3",6.04524663832,342.6067,337.0067,345.9067
"243","Acidithiobacillus ferrivorans","Specific Growth Rate","Bacteria","Proteobacteria","Acidithiobacillia","Acidithiobacillales","Acidithiobacillaceae","Acidithiobacillus","F4",2.97842306602,301.5998,295.1998,313.5998
"244","Sulfobacillus thermotolerans","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Sulfobacillus","F4",7.7603335617,312.1524,305.8524,320.8524
"245","Acidilobus aceticus","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","Fermentation",6.64834587325,357.5006,352.3006,363.7006
"246","Brevibacterium sp.","Specific Growth Rate","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation",1.97446486371,291.844144585,286.044144585,298.644144585
"247","Brevibacterium sp. cr3/1/15","Specific Growth Rate","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation",2.00209153996,292.205568863,286.105568863,298.805568863
"248","Caldanaerobacter subterraneus","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Caldanaerobacter","Fermentation",8.46786122851461,345.178411186879,338.944994562949,349.247221381045
"249","Caldicellulosiruptor obsidiansis","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Caldicellulosiruptor","Fermentation",15.9917888997,350.1893,332.6893,355.5893
"250","Caloramator indicus","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloramator","Fermentation",65.022852747,335.9158,333.4158,339.0158
"251","Caloranaerobacter azorensis","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloranaerobacter","Fermentation",41.0004078085,337.7058,334.0058,338.8058
"252","Clostridium perfringens","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Fermentation",128.614128081568,319.20206691123,314.263449929021,322.036315782469
"253","Desulfitobacterium dehalogenans","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium","Fermentation",3.85679231627,311.68982,307.18982,314.58982
"254","Desulfobacter curvatus","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter","Fermentation",0.947342730992,306.02228,298.12228,309.52228
"255","Desulforhopalus vacuolatus","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulforhopalus","Fermentation",0.690863676987,294.896967,288.596967,295.996967
"256","Desulfuromonas michiganensis","Specific Growth Rate","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas","Fermentation",19.6403569890253,355.421430857623,347.311842488678,357.321449612082
"257","Enterococcus faecalis","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Fermentation",30.3136969446,311.11599,305.21599,316.01599
"258","Fervidobacterium pennivorans","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fermentation",5.75697865683,344.0394,333.5394,349.4394
"259","Flexistipes sinusarabici","Specific Growth Rate","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Flexistipes","Fermentation",2.04211893871,321.8338,314.3338,324.3338
"260","Halanaerobium alcaliphilum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Fermentation",7.15972413588,310.3462,304.4462,316.6462
"261","Halanaerobium lacusrosei","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Fermentation",4.51074093214,315.9826,310.6826,317.9826
"262","Halonatronum saccharophilum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae","Halonatronum","Fermentation",5.20667013865,322.2938,307.1938,330.5938
"263","Lactobacillus acidophilus","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation",12.8205928791,314.8861,308.4861,318.0861
"264","Lactobacillus delbrueckii","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation",26.3611296743,317.2598,313.1598,321.8598
"265","Lactobacillus paracasei","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Fermentation",7.18223000852,307.20125,301.00125,313.40125
"266","Lactococcus lactis","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Fermentation",25.4530427265931,302.685719991733,294.916614427327,312.555321450094
"267","Lactococcus piscium","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Fermentation",17.4295963443,297.0043126,291.8043126,298.7043126
"268","Pelotomaculum thermopropionicum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Pelotomaculum","Fermentation",1.57991226322,328.1234,324.8234,331.2234
"269","Peptoclostridium paradoxum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","Fermentation",0.42432938662491,328.869036004988,323.367218101727,332.020294248484
"270","Peptoclostridium thermoalcaliphilum","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","Fermentation",59.0648000675,322.2641,317.7641,324.8641
"271","Pseudothermotoga lettingae","Specific Growth Rate","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga","Fermentation",5.33921993965,337.6284,333.3284,340.8284
"272","Streptococcus salivarius","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Fermentation",49.1617820131,319.3156,314.2156,323.4156
"273","Streptococcus thermophilus","Specific Growth Rate","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Fermentation",43.5421199473509,314.061020965578,308.411993875999,318.546971733672
"274","Sulfophobococcus zilligii","Specific Growth Rate","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Sulfophobococcus","Fermentation",5.16405157797,364.4286,353.5286,368.8286
"275","Symbiobacterium toebii","Specific Growth Rate","Bacteria","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae","Symbiobacterium","Fermentation",10.0094220587,335.2146,330.0146,338.5146
